STARLINK-4711           
Time(t),Position x(r_x),y(r_y),z(r_z),Velocity x(v_x),y(v_y),z(v_z)
2459905.6730897566,-3746.4469063330143,-5313.690564845782,-2034.8014263048747,2.8989961393438946,-4.215211865741224,5.687830220475969
2459905.673784896,-3563.9436237591253,-5554.576622323169,-1688.8090282898452,3.1761213888668247,-3.8032133744779757,5.829388933164065
2459905.6744800354,-3365.2212802745767,-5770.184752571918,-1335.1091298332371,3.438882347304952,-3.373767139599312,5.944385998423278
2459905.675175175,-3151.179456465439,-5959.525185297991,-975.3142448572473,3.686066851641005,-2.928828145969868,6.03227650655799
2459905.6758703147,-2922.7883249097918,-6121.728016637855,-611.0656308933278,3.9165332247918783,-2.4704259611695414,6.092640773378843
2459905.6765654543,-2681.084369121622,-6256.0472494062915,-244.025925402678,4.129215860807111,-2.000655429706771,6.125186706464142
2459905.677260594,-2427.165650067871,-6361.864414544653,124.12857444617384,4.323130627470863,-1.5216666683095685,6.129751594308423
2459905.6779557336,-2162.1867606839473,-6438.691580454961,491.71571812845167,4.497379851369282,-1.035654699218146,6.106303192207899
2459905.6786508732,-1887.3534947301157,-6486.173730702482,857.055351575674,4.651156844837536,-0.5448487941985618,6.05494009027036
2459905.679346013,-1603.9172586091488,-6504.090495056752,1218.4771671679348,4.783749939243189,-0.05150160612467699,5.975891357275351
2459905.680041152,-1313.169453633753,-6492.357241315218,1574.3282743683337,4.894545928027105,0.4421215021744145,5.869515542899725
2459905.6807362917,-1016.4346829273634,-6451.025435415603,1922.981870242964,4.983033311917776,0.9337548349769489,5.736298584806741
2459905.6814314313,-715.0657514204535,-6380.282436822649,2262.843399780519,5.048804252284644,1.421141404004268,5.576851754455197
2459905.682126571,-410.4365939020043,-6280.45057581374,2592.358937512672,5.091556708514412,1.9020451742991813,5.391908241064187
2459905.6828217106,-103.93607844641096,-6151.985589437814,2910.022161994488,5.111095604876741,2.3742614758804472,5.182319430734769
2459905.68351685,203.0384403634906,-5995.474421558515,3214.3813256008316,5.1073335052170075,2.8356274978860405,4.9490505277678265
2459905.68421199,509.08759179117664,-5811.6324017061925,3504.045944714016,5.080290723191924,3.2840324711644793,4.693175623346822
2459905.6849071295,812.8164494321419,-5601.299823131309,3777.6931784751073,5.030094882798352,3.717427482965411,4.415872258034988
2459905.685602269,1112.8409494057055,-5365.437943619078,4034.0738671180193,4.956979948648922,4.133834874854076,4.118415526738192
2459905.6862974083,1407.794039517094,-5105.124617648495,4272.018050876626,4.861284820871595,4.531356923210184,3.8021719935789853
2459905.686992548,1696.332707960696,-4821.5485097167175,4490.440877657335,4.743451106068861,4.908185340871298,3.4685921702952043
2459905.6876876876,1977.142906928135,-4516.004577063909,4688.346518299334,4.604021092441664,5.26260760979308,3.1192048169698463
2459905.688382827,2248.9463003701626,-4189.887362394377,4864.833263173472,4.443634674889889,5.593015457322461,2.755608869825682
2459905.689077967,2510.5058354600865,-3844.684706980303,5019.097360721838,4.263026184202625,5.897911432997375,2.3794661889491517
2459905.6897731065,2760.6313085776037,-3481.9709026311693,5150.436568011569,4.063020794110872,6.175915204133716,1.9924939178275538
2459905.690468246,2998.184705212252,-3103.3994822431046,5258.2532377280395,3.8445305898628885,6.425769295103355,1.5964566956107822
2459905.6911633858,3222.0852941895323,-2710.6956823609826,5342.056933733362,3.6085503233661864,6.646344271255794,1.1931587531569898
2459905.6918585254,3431.314458061938,-2305.64861105881,5401.466569071983,3.356152877499038,6.836643370450712,0.7844359198650143
2459905.6925536646,3624.9201185488437,-1890.1034356590271,5436.212046850492,3.0884846436563476,6.995806489976103,0.37214784147179236
2459905.693248804,3802.0214981292934,-1465.951939572211,5446.1355071696735,2.80675973386877,7.123114129986665,-0.041831232371058236
2459905.693943944,3961.8122830281873,-1035.1256758045772,5431.191870059621,2.512255758494371,7.217989747947114,-0.45561892283298716
2459905.6946390835,4103.564769984285,-599.5861770327907,5391.449139161696,2.206307592295919,7.280002658575004,-0.8673339723072414
2459905.695334223,4226.633009592057,-161.31641772155638,5327.088074885596,1.8903018066245736,7.30886982311667,-1.2751041140190145
2459905.6960293627,4330.455733526807,277.6880967338752,5238.401410518614,1.5656707206177343,7.304457204368837,-1.6770742001115762
2459905.6967245024,4414.558918530248,715.4283055212671,5125.792581180914,1.2338862546097347,7.266780561293742,-2.0714142972257976
2459905.697419642,4478.557975557415,1149.9105985600875,4989.773968079487,0.8964535950162609,7.196005671123314,-2.4563277317579364
2459905.6981147816,4522.15955308568,1579.1558185147999,4830.964661641587,0.5549046810105248,7.092447964209995,-2.8300590643350994
2459905.698809921,4545.162935764251,2001.2079430385256,4650.087876809698,0.21079175624093832,6.956571656612683,-3.1909017326321396
